iter	MultiClass
0	1.02924354611	0.972605645522	0.909135007
33	0.8376103509
4	0.7885318895
5	0.7566582115
6	0.7108074684
7	0.6812771922
8	0.6476682278
9	0.6213218192
10	0.5906446691
11	0.5628603039
12	0.5373056505
13	0.515171761
14	0.4941087571
15	0.4764448825
16	0.4593034146
17	0.4394682709
18	0.4213861483
19	0.4052316872
20	0.3876046774
21	0.3703841923
22	0.3558283345
23	0.3442130354
24	0.3331234522
25	0.3200907518
26	0.3095888563
27	0.2990876763
28	0.2897248827
29	0.2807154971
30	0.271499667331	0.2638802175332	0.257254304533	0.2546154601
34	0.2472742806
35	0.2409206717
36	0.2352464694
37	0.2298472282
38	0.2242803551
39	0.2180773618
40	0.2118622072
41	0.2068924859
42	0.2026767024
43	0.198163315
44	0.1934407974
45	0.188227861
46	0.1844310625
47	0.1810589493
48	0.1774654499
49	0.1736575567
50	0.169337667
51	0.1660961046
52	0.1627297841
53	0.1598307271
54	0.1569882402
55	0.1544284099
56	0.1521223053
57	0.1489903293
58	0.1466191369
59	0.1436235679
60	0.1410555772
61	0.1385963775
62	0.1360084656
63	0.1338182884
64	0.1314639583
65	0.1296987073
66	0.1278860087
67	0.1261276329
68	0.123604469	0.1167280607
70	0.1149838225
71	0.1137093662
72	0.1116935009
73	73	0.1154232874	74	0.1139080475	0.1067239498
76	0.1050358623
77	0.1084401139
78	0.1064242831
79	0.09971837729
80	0.09834912007
81	0.09672464609
82	0.09494515277
83	0.09355215192
84	0.09237494356
85	0.09106566893
86	0.08976848533
87	0.08897109746
88	0.08761256421
89	0.08656283994
90	0.08552586187
91	0.08417707959
92	0.0830358865
93	0.08212603793
94	0.08115810257
95	0.08023019543
96	0.07915897	0.097	0.07817598	0.098	0.07743699	0.099	0.076290100	0.100	0.075463101	0.07796236148
102	0.102	0.073650103	0.07610879244
104	0.07522747984
105	0.07414112951
106	0.07318172245
107	0.0721103713
108	0.07136691001
109	0.07030084857
110	0.06940517414
111	0.06839726112
112	0.06746836882
113	0.06655387196
114	0.06592954179
115	0.06513152817
116	0.06450397085
117	0.0637750731
118	0.06312294768
119	0.06255360786
120	0.06172857628
121	0.06120734687
122	0.06061678282
123	0.05987429874
124	0.05912235095
125	0.05837062331
126	0.05780900094
127	0.05710197291
128	0.05658509539
129	0.05597359519
130	0.0554039046
131	0.05493194969
132	0.05442803548
133	0.05383882229
134	0.05326966086
135	0.05279491738
136	0.0523117338
137	0.05175783708
138	0.05132149721
139	0.05083242454
140	0.05028657447
141	0.04989074335
142	0.04941971431
143	0.04887114551
144	0.04846913749
145	0.04820004895
146	0.04782504503
147	0.04743981109
148	0.04706645396
149	0.04677614002
150	0150	0.0455813151	0151	0.0452844152	0.04575224128
153	0.04537921771
154	0.04505345553
155	0.04467210365
156	0.04434770228
157	0.04402455417
158	0.04379953302
159	0.04339795101
160	0.04312369704
161	0.04272400559
162	0.0423735078
163	0.04197005317
164	0.04173236928
165	0.04137101816
166	0.04112373241
167	0.04080058084
168	0.04053395449
169	0.04025989287
170	0.03991010071
171	0.03966587301
172	0.03939667195
173	0.03909459427
174	0.03886781894
175	0.03865119966
176	0.03843570605
177	0.0381948934
178	0.03792621236
179	0.0376315663
180	0.03742235801
181	0.03719141587
182	0.03693748538
183	0.03661524046
184	0.03632736714
185	0.03614743183
186	0.03587867548
187	0.03562688213
188	0.03543589465
189	0.189	0.03430667184
190	0.0340620875
191	0.03385534857
192	0.0336676745
19193	0.034955430119194	0.0347332063195	0.03311982979
19196	0.034364608197197	0.03416009022
198	0.03386845771
199	0.03365550863
200	0.03346231562
201	0.03324360798
202	0.033043871203203	0.032832320204	0.03140391043
205	0.03121279002
206	0.03102512624
207207	0.03205008248
208	0.03189201986
209	0.031652944210210	0.03146338687
211	0.031299028212212	0.03115206492
213	0.03094351674
214	0.0307766795
