iter	Passed	Remaining
407	4857	7048
408	4867	7033
409	4877	7018
410	4887	7004
411	4897	6990
412	4908	6975
413	4918	6961
414	4927	6945
415	4936	6930
416	4946	6915
417	4957	6901
418	4968	6889
419	4978	6875
420	4988	6860
421	4998	6846
422	5007	6831
423	5017	6816
424	5028	6802
425	5039	6790
426	5048	6775
427	5058	6760
428	5068	6746
429	5077	6731
430	5086	6715
431	5095	6699
432	5105	6685
433	5114	6669
434	5123	6654
435	5132	6639
436	5142	6625
437	5151	6609
438	5160	6594
439	5170	6580
440	5181	6567
441	5191	6553
442	5200	6538
443	5209	6523
444	5219	6509
445	5229	6496
446	5239	6481
447	5247	6466
448	5257	6451
449	5266	6436
450	5275	6421
451	5285	6408
452	5294	6393
453	5304	6379
454	5314	6366
455	5325	6352
456	5334	6338
457	5343	6323
458	5352	6309
459	5363	6295
460	5372	6281
461	5382	6267
462	5391	6252
463	5400	6238
464	5409	6224
465	5418	6209
466	5428	6195
467	5437	6180
468	5448	6168
469	5458	6155
470	5468	6142
471	5478	6128
472	5488	6115
473	5498	6102
474	5508	6088
475	5519	6075
476	5529	6062
477	5538	6048
478	5547	6034
479	5557	6020
480	5567	6007
481	5580	5997
482	5591	5985
483	5601	5971
484	5610	5957
485	5621	5945
486	5630	5931
487	5640	5917
488	5651	5905
489	5661	5892
490	5671	5879
491	5680	5865
492	5690	5851
493	5700	5838
494	5710	5826
495	5722	5814
496	5733	5802
497	5743	5789
498	5753	5776
499	5763	5763
500	5772	5749
501	5782	5736
502	5792	5723
503	5803	5711
504	5813	5698
505	5823	5685
506	5832	5671
507	5842	5658
508	5854	5647
509	5864	5634
510	5874	5621
511	5885	5609
512	5895	5596
513	5906	5584
514	5917	5572
515	5927	5559
516	5937	5546
517	5947	5533
518	5958	5521
519	5969	5509
520	5979	5497
521	5992	5487
522	6003	5475
523	6018	5467
524	6032	5457
525	6042	5445
526	6053	5433
527	6064	5421
528	6075	5409
529	6086	5397
530	6096	5384
531	6105	5371
532	6116	5359
533	6128	5347
534	6139	5335
535	6150	5324
536	6161	5312
537	6171	5299
538	6181	5286
539	6192	5275
540	6204	5263
541	6217	5253
542	6229	5242
543	6239	5229
544	6249	5217
545	6261	5206
546	6273	5195
547	6283	5182
548	6294	5170
549	6305	5158
550	6316	5146
551	6326	5134
552	6336	5121
553	6347	5109
554	6357	5097
555	6368	5085
556	6378	5073
557	6389	5060
558	6400	5049
559	6411	5037
560	6422	5025
561	6434	5014
562	6445	5002
563	6459	4993
564	6470	4981
565	6481	4969
566	6492	4957
567	6502	4945
568	6513	4933
569	6523	4921
570	6534	4909
571	6546	4898
572	6557	4886
573	6567	4873
574	6577	4861
575	6588	4850
576	6599	4837
577	6610	4826
578	6621	4814
579	6633	4803
580	6643	4791
581	6653	4778
582	6663	4766
583	6674	4754
584	6684	4741
585	6694	4729
586	6703	4716
587	6713	4704
588	6724	4692
589	6734	4679
590	6744	4667
591	6755	4655
592	6765	4643
593	6776	4631
594	6786	4619
595	6797	4607
596	6808	4596
597	6818	4583
598	6828	4571
599	6837	4558
600	6846	4545
601	6857	4533
602	6867	4521
603	6877	4508
604	6887	4496
605	6896	4483
606	6907	4472
607	6917	4460
608	6927	4447
609	6940	4437
610	6950	4425
611	6959	4412
612	6972	4401
613	6985	4391
614	6996	4380
615	7006	4367
616	7018	4356
617	7028	4344
618	7038	4332
619	7048	4320
620	7060	4309
621	7071	4297
622	7082	4286
623	7093	4274
624	7104	4262
625	7113	4250
626	7124	4238
627	7134	4226
628	7145	4214
629	7155	4202
630	7165	4190
631	7175	4178
632	7185	4165
633	7196	4154
634	7207	4142
635	7219	4131
636	7228	4119
637	7238	4106
638	7248	4095
639	7259	4083
640	7269	4071
641	7280	4059
642	7290	4047
643	7300	4035
644	7310	4023
645	7321	4012
646	7333	4000
647	7343	3989
648	7355	3978
649	7365	3965
650	7374	3953
651	7384	3941
652	7394	3929
653	7404	3917
654	7414	3905
655	7424	3893
656	7434	3881
657	7444	3869
658	7456	3858
659	7467	3846
660	7477	3834
661	7489	3824
662	7500	3812
663	7511	3800
664	7520	3788
665	7530	3776
666	7541	3764
667	7551	3753
668	7561	3741
669	7571	3729
670	7582	3717
671	7591	3705
672	7601	3693
673	7613	3682
674	7623	3670
675	7633	3658
676	7642	3646
677	7653	3634
678	7663	3622
679	7673	3610
680	7683	3599
681	7692	3586
682	7702	3574
683	7711	3562
684	7720	3550
685	7730	3538
686	7740	3526
687	7752	3515
688	7762	3503
689	7774	3492
690	7785	3481
691	7796	3470
692	7806	3458
693	7816	3446
694	7826	3434
695	7837	3423
696	7847	3411
697	7858	3400
698	7868	3388
699	7880	3377
700	7892	3366
701	7903	3354
702	7913	3343
703	7923	3331
704	7934	3320
705	7944	3308
706	7955	3296
707	7965	3285
708	7976	3273
709	7986	3261
710	7995	3249
711	8006	3238
712	8017	3227
713	8027	3215
714	8037	3203
715	8047	3192
716	8058	3180
717	8083	3174
718	8092	3162
719	8103	3151
720	8113	3139
721	8122	3127
722	8133	3116
723	8144	3104
724	8154	3093
725	8165	3081
726	8175	3069
727	8184	3058
728	8194	3046
729	8203	3034
730	8213	3022
731	8223	3010
732	8232	2998
733	8242	2987
734	8253	2975
735	8263	2964
736	8272	2952
737	8286	2941
738	8296	2930
739	8306	2918
740	8315	2906
741	8326	2895
742	8336	2883
743	8346	2871
744	8356	2860
745	8367	2848
746	8377	2837
747	8387	2825
748	8398	2814
749	8409	2803
750	8422	2792
751	8433	2781
752	8443	2769
753	8454	2758
754	8463	2746
755	8474	2735
756	8484	2723
757	8494	2712
758	8504	2700
759	8513	2688
760	8523	2676
761	8533	2665
762	8542	2653
763	8553	2642
764	8563	2630
765	8573	2618
766	8583	2607
767	8593	2595
768	8603	2584
769	8613	2572
770	8622	2561
771	8632	2549
772	8641	2537
773	8651	2526
774	8662	2514
775	8672	2503
776	8681	2491
777	8692	2480
778	8701	2468
779	8711	2457
780	8721	2445
781	8730	2433
782	8740	2422
783	8750	2410
784	8761	2399
785	8770	2387
786	8780	2376
787	8790	2365
788	8801	2353
789	8811	2342
790	8820	2330
791	8832	2319
792	8842	2308
793	8852	2296
794	8862	2285
795	8872	2273
796	8882	2262
797	8892	2250
798	8903	2239
799	8913	2228
800	8923	2216
801	8933	2205
802	8943	2194
803	8953	2182
804	8963	2171
805	8974	2160
806	8984	2148
807	8994	2137
808	9004	2125
809	9014	2114
810	9024	2103
811	9034	2091
812	9043	2080
813	9053	2068
814	9063	2057
815	9072	2045
816	9084	2034
817	9095	2023
818	9106	2012
819	9115	2000
820	9123	1989
821	9132	1977
822	9142	1966
823	9152	1954
824	9162	1943
825	9171	1932
826	9180	1920
827	9189	1908
828	9198	1897
829	9208	1886
830	9217	1874
831	9227	1863
832	9239	1852
833	9248	1840
834	9257	1829
835	9266	1817
836	9274	1806
837	9283	1794
838	9292	1783
839	9301	1771
840	9309	1760
841	9319	1748
842	9327	1737
843	9337	1725
844	9346	1714
845	9355	1702
846	9365	1691
847	9376	1680
848	9386	1669
849	9397	1658
850	9407	1647
851	9417	1635
852	9427	1624
853	9436	1613
854	9446	1602
855	9456	1590
856	9465	1579
857	9474	1568
858	9483	1556
859	9492	1545
860	9500	1533
861	9512	1522
862	9522	1511
863	9532	1500
864	9545	1489
865	9556	1478
866	9568	1467
867	9578	1456
868	9588	1445
869	9598	1434
870	9607	1422
871	9616	1411
872	9626	1400
873	9636	1389
874	9646	1378
875	9657	1367
876	9666	1355
877	9675	1344
878	9685	1333
879	9694	1322
880	9705	1310
881	9717	1300
882	9727	1288
883	9736	1277
884	9745	1266
885	9754	1255
886	9764	1243
887	9773	1232
888	9782	1221
